Model,Parameters,ROC_AUC,Threshold,Selected[%],Rejected[idx],Time[s]
RandomForestClassifier,"n_estimators: 100, class_weight: {1: 100}, min_samples_leaf: 20, max_samples: 0.5",0.836,0.025,50.0,[ 3  5  8  9 10 11 12 13 15 17],4.56
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 1.0",0.8414,0.01,100.0,[],5.27
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 1.0",0.8408,0.015,95.0,[17],5.22
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 1.0",0.8403,0.016,90.0,[ 8 17],5.15
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 1.0",0.8405,0.0165,85.0,[ 5  8 17],4.97
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 1.0",0.8402,0.017,80.0,[ 5  8 15 17],5.09
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 1.0",0.8409,0.018,65.0,[ 3  5  8 10 13 15 17],5.14
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 1.0",0.839,0.02,60.0,[ 3  5  8 10 11 13 15 17],5.19
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 1.0",0.8366,0.025,50.0,[ 3  5  8  9 10 11 12 13 15 17],5.1
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 0.5",0.8431,0.01,100.0,[],4.51
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 0.5",0.8423,0.015,95.0,[17],4.61
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 0.5",0.8428,0.016,90.0,[ 8 17],4.62
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 0.5",0.8419,0.0165,85.0,[ 5  8 17],4.6
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 0.5",0.8407,0.017,80.0,[ 5  8 15 17],4.63
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 0.5",0.8407,0.018,65.0,[ 3  5  8 10 13 15 17],4.47
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 0.5",0.8395,0.02,60.0,[ 3  5  8 10 11 13 15 17],4.47
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 0.5",0.8375,0.025,50.0,[ 3  5  8  9 10 11 12 13 15 17],4.43
BalancedBagging_OverSampling,"n_estimators: 100, max_samples: 1.0",0.776,0.01,100.0,[],27.33
BalancedBagging_OverSampling,"n_estimators: 100, max_samples: 1.0",0.7765,0.015,95.0,[17],25.46
BalancedBagging_OverSampling,"n_estimators: 100, max_samples: 1.0",0.7772,0.016,90.0,[ 8 17],24.73
BalancedBagging_OverSampling,"n_estimators: 100, max_samples: 1.0",0.7779,0.0165,85.0,[ 5  8 17],24.13
BalancedBagging_OverSampling,"n_estimators: 100, max_samples: 1.0",0.7756,0.017,80.0,[ 5  8 15 17],22.9
BalancedBagging_OverSampling,"n_estimators: 100, max_samples: 1.0",0.7787,0.018,65.0,[ 3  5  8 10 13 15 17],21.6
BalancedBagging_OverSampling,"n_estimators: 100, max_samples: 1.0",0.77,0.02,60.0,[ 3  5  8 10 11 13 15 17],18.37
BalancedBagging_OverSampling,"n_estimators: 100, max_samples: 1.0",0.7616,0.025,50.0,[ 3  5  8  9 10 11 12 13 15 17],15.55
EasyEnsembleClassifier,"n_estimators: 50, max_samples: 1.0",0.8317,0.01,100.0,[],14.69
EasyEnsembleClassifier,"n_estimators: 50, max_samples: 1.0",0.8315,0.015,95.0,[17],14.92
EasyEnsembleClassifier,"n_estimators: 50, max_samples: 1.0",0.8314,0.016,90.0,[ 8 17],14.99
EasyEnsembleClassifier,"n_estimators: 50, max_samples: 1.0",0.831,0.0165,85.0,[ 5  8 17],14.88
EasyEnsembleClassifier,"n_estimators: 50, max_samples: 1.0",0.8308,0.017,80.0,[ 5  8 15 17],14.72
EasyEnsembleClassifier,"n_estimators: 50, max_samples: 1.0",0.8307,0.018,65.0,[ 3  5  8 10 13 15 17],14.68
EasyEnsembleClassifier,"n_estimators: 50, max_samples: 1.0",0.8302,0.02,60.0,[ 3  5  8 10 11 13 15 17],14.32
EasyEnsembleClassifier,"n_estimators: 50, max_samples: 1.0",0.8277,0.025,50.0,[ 3  5  8  9 10 11 12 13 15 17],14.2
EasyEnsembleClassifier,"n_estimators: 100, max_samples: 1.0",0.8326,0.01,100.0,[],26.42
EasyEnsembleClassifier,"n_estimators: 100, max_samples: 1.0",0.8322,0.015,95.0,[17],26.12
EasyEnsembleClassifier,"n_estimators: 100, max_samples: 1.0",0.8318,0.016,90.0,[ 8 17],25.96
EasyEnsembleClassifier,"n_estimators: 100, max_samples: 1.0",0.8315,0.0165,85.0,[ 5  8 17],26.01
EasyEnsembleClassifier,"n_estimators: 100, max_samples: 1.0",0.8313,0.017,80.0,[ 5  8 15 17],25.88
EasyEnsembleClassifier,"n_estimators: 100, max_samples: 1.0",0.8315,0.018,65.0,[ 3  5  8 10 13 15 17],25.83
EasyEnsembleClassifier,"n_estimators: 100, max_samples: 1.0",0.8308,0.02,60.0,[ 3  5  8 10 11 13 15 17],25.51
EasyEnsembleClassifier,"n_estimators: 100, max_samples: 1.0",0.8289,0.025,50.0,[ 3  5  8  9 10 11 12 13 15 17],25.14
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 1, max_samples: None",0.8444,0.01,100.0,[],4.85
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 1, max_samples: None",0.8432,0.015,95.0,[17],4.69
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 1, max_samples: None",0.8425,0.016,90.0,[ 8 17],4.69
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 1, max_samples: None",0.8414,0.0165,85.0,[ 5  8 17],4.75
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 1, max_samples: None",0.843,0.017,80.0,[ 5  8 15 17],4.7
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 1, max_samples: None",0.8434,0.018,65.0,[ 3  5  8 10 13 15 17],4.57
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 1, max_samples: None",0.8384,0.02,60.0,[ 3  5  8 10 11 13 15 17],4.48
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 1, max_samples: None",0.8356,0.025,50.0,[ 3  5  8  9 10 11 12 13 15 17],4.59
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 10, max_samples: 0.5",0.8412,0.01,100.0,[],4.77
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 10, max_samples: 0.5",0.8408,0.015,95.0,[17],4.65
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 10, max_samples: 0.5",0.8412,0.016,90.0,[ 8 17],4.49
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 10, max_samples: 0.5",0.8405,0.0165,85.0,[ 5  8 17],4.58
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 10, max_samples: 0.5",0.8403,0.017,80.0,[ 5  8 15 17],4.68
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 10, max_samples: 0.5",0.8386,0.018,65.0,[ 3  5  8 10 13 15 17],4.51
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 10, max_samples: 0.5",0.838,0.02,60.0,[ 3  5  8 10 11 13 15 17],4.49
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 10, max_samples: 0.5",0.8378,0.025,50.0,[ 3  5  8  9 10 11 12 13 15 17],4.61
